ArchiveDate,Adult_Child,Speciality,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
25/11/2021,Child,Paediatric Respiratory Medicine,447,350,141,272,"1,210"
25/11/2021,Child,Paediatric Surgery,341,101,45,43,530
25/11/2021,Child,Paediatric Urology,117,97,45,103,362
25/11/2021,Child,Paediatrics,70,19,14,20,123
25/11/2021,Child,Plastic Surgery,183,67,42,67,359
25/11/2021,Child,Rheumatology,20,6,4,26,56
25/11/2021,Child,Small Volume Specialties,50,16,12,16,93
25/11/2021,Child,Urology,151,47,32,66,296
23/12/2021,Adult,Anaesthetics,261,25,0,2,288
23/12/2021,Adult,Breast Surgery,98,23,14,38,173
23/12/2021,Adult,Cardio-Thoracic Surgery,260,34,20,33,347
